,Dataset,Model,Next Step,Next Resource,Last Resource,Outcome,Next relative Timestamp,Duration to Outcome,Activity Suffix,Resource Suffix
0,Helpdesk,Evermann,0.5291666388511658,0.22440476715564728,0.8107143044471741,0.9940476417541504,,,,
1,Helpdesk,Tax_Spezialized,0.7883928418159485,,,0.9940476417541504,7.581494331359863,6.642604827880859,,
2,Helpdesk,Tax_Shared,0.7895833253860474,,,0.9940476417541504,5.271451950073242,6.668652534484863,,
3,Helpdesk,Tax_Mixed,0.30148810148239136,,,0.9940476417541504,14.843463897705078,7.193249702453613,,
4,Helpdesk,Camargo_Spezialized,0.555059552192688,0.35773810744285583,0.8107143044471741,0.9940476417541504,7.6892242431640625,6.658458232879639,,
5,Helpdesk,Camargo_concat,0.788095235824585,0.3226190507411957,0.8107143044471741,0.9940476417541504,7.730898380279541,6.663637638092041,,
6,Helpdesk,Camargo_fullconcat,0.8020833134651184,0.43244048953056335,0.8107143044471741,0.9940476417541504,5.431703567504883,6.778954029083252,,
7,Helpdesk,MiDA,0.7660714387893677,0.22440476715564728,0.8107143044471741,0.9940476417541504,4.907471656799316,6.540535926818848,,
8,Helpdesk,MPPN,0.8092262148857117,0.694345235824585,0.8520833253860474,0.9940476417541504,5.051834583282471,6.696916103363037,,
9,Mobis,Evermann,0.869135320186615,0.16291901469230652,0.07450642436742783,0.797977864742279,,,,
10,Mobis,Tax_Spezialized,0.8764392733573914,,,0.797977864742279,3.8928983211517334,28.506126403808594,,
11,Mobis,Tax_Shared,0.9255573749542236,,,0.8153924942016602,3.1667301654815674,20.620922088623047,,
12,Mobis,Tax_Mixed,0.5277644991874695,,,0.797977864742279,1.9047818183898926,22.724720001220703,,
13,Mobis,Camargo_Spezialized,0.8227920532226562,0.16291901469230652,0.07450642436742783,0.797977864742279,4.852903366088867,30.395549774169922,,
14,Mobis,Camargo_concat,0.8470640778541565,0.16291901469230652,0.07450642436742783,0.797977864742279,4.129095077514648,30.262054443359375,,
15,Mobis,Camargo_fullconcat,0.8588013648986816,0.16291901469230652,0.07450642436742783,0.797977864742279,3.411658525466919,23.913930892944336,,
16,Mobis,MiDA,0.7831786274909973,0.16291901469230652,0.07450642436742783,0.797977864742279,2.9942946434020996,24.558216094970703,,
17,Mobis,MPPN,0.933403491973877,0.5461040139198303,0.12531496584415436,0.8133512139320374,4.5458760261535645,23.5587100982666,,
18,BPIC12,Evermann,0.5837840437889099,0.14904165267944336,0.1721937507390976,0.4166666567325592,,,,
19,BPIC12,Tax_Spezialized,0.6843153834342957,,,0.4166666567325592,0.6060069799423218,7.358315467834473,,
20,BPIC12,Tax_Shared,0.8300834894180298,,,0.4905114471912384,0.495176762342453,6.796273231506348,,
21,BPIC12,Tax_Mixed,0.28273555636405945,,,0.4166666567325592,0.8899148106575012,6.657868385314941,,
22,BPIC12,Camargo_Spezialized,0.7886184453964233,0.14904165267944336,0.1721937507390976,0.4166666567325592,0.6619540452957153,7.809736251831055,,
23,BPIC12,Camargo_concat,0.721463143825531,0.4805009961128235,0.1721937507390976,0.4166666567325592,0.8844852447509766,7.824590682983398,,
24,BPIC12,Camargo_fullconcat,0.7662017345428467,0.14904165267944336,0.1721937507390976,0.4166666567325592,0.9445584416389465,6.661402702331543,,
25,BPIC12,MiDA,0.6270518898963928,0.14904165267944336,0.1721937507390976,0.4166666567325592,0.6581252217292786,6.553840160369873,,
26,BPIC12,MPPN,0.844363808631897,0.7761884331703186,0.3218284547328949,0.5357007384300232,0.7579590082168579,6.724236965179443,,
27,BPIC12_A,Evermann,0.7232272624969482,0.4697442352771759,0.2373674362897873,0.3756498098373413,,,,
28,BPIC12_A,Tax_Spezialized,0.42763566970825195,,,0.3756498098373413,1.5498931407928467,7.599315643310547,,
29,BPIC12_A,Tax_Shared,0.7540029287338257,,,0.49157828092575073,1.2079933881759644,7.565107345581055,,
30,BPIC12_A,Tax_Mixed,0.2720939815044403,,,0.3756498098373413,2.0118634700775146,8.18307113647461,,
31,BPIC12_A,Camargo_Spezialized,0.42763566970825195,0.4697442352771759,0.2373674362897873,0.3756498098373413,2.1388444900512695,7.747371673583984,,
32,BPIC12_A,Camargo_concat,0.2720939815044403,0.4697442352771759,0.2373674362897873,0.3756498098373413,2.3362643718719482,7.818748950958252,,
33,BPIC12_A,Camargo_fullconcat,0.7057600617408752,0.4697442352771759,0.2373674362897873,0.3756498098373413,1.5298937559127808,7.627996444702148,,
34,BPIC12_A,MiDA,0.2720939815044403,0.4697442352771759,0.2373674362897873,0.3756498098373413,1.340201735496521,7.626312732696533,,
35,BPIC12_A,MPPN,0.7517155408859253,0.6783115267753601,0.34102723002433777,0.5153878331184387,1.4157681465148926,7.607889175415039,,
36,BPIC12_O,Evermann,0.5362402200698853,0.08108624815940857,0.18148785829544067,0.5109963417053223,,,,
37,BPIC12_O,Tax_Spezialized,0.617135226726532,,,0.5109963417053223,2.2440619468688965,7.926870346069336,,
38,BPIC12_O,Tax_Shared,0.8236756324768066,,,0.5109963417053223,2.1247761249542236,7.619668483734131,,
39,BPIC12_O,Tax_Mixed,0.6637980341911316,,,0.5109963417053223,2.0574891567230225,7.658929824829102,,
40,BPIC12_O,Camargo_Spezialized,0.8240581154823303,0.46280360221862793,0.18148785829544067,0.5109963417053223,2.2933452129364014,7.895570278167725,,
41,BPIC12_O,Camargo_concat,0.7884872555732727,0.4010327160358429,0.18148785829544067,0.5109963417053223,2.233299732208252,8.001830101013184,,
42,BPIC12_O,Camargo_fullconcat,0.7121820449829102,0.15834768116474152,0.18148785829544067,0.5109963417053223,2.8413169384002686,7.618488311767578,,
43,BPIC12_O,MiDA,0.5362402200698853,0.1325301229953766,0.18148785829544067,0.5109963417053223,2.1987252235412598,7.712799072265625,,
44,BPIC12_O,MPPN,0.8269267678260803,0.6429527401924133,0.18550391495227814,0.5109963417053223,2.4650232791900635,7.580528736114502,,
45,BPIC12_Wc,Evermann,0.7737887501716614,0.10437962412834167,0.1104462742805481,0.4353029131889343,,,,
46,BPIC12_Wc,Tax_Spezialized,0.7767805457115173,,,0.4353029131889343,1.6747583150863647,7.791574001312256,,
47,BPIC12_Wc,Tax_Shared,0.7737887501716614,,,0.4913986623287201,1.6597418785095215,7.6813554763793945,,
48,BPIC12_Wc,Tax_Mixed,0.7737887501716614,,,0.4353029131889343,1.5625264644622803,7.419373512268066,,
49,BPIC12_Wc,Camargo_Spezialized,0.7737887501716614,0.10437962412834167,0.1104462742805481,0.4353029131889343,1.953914999961853,8.256412506103516,,
50,BPIC12_Wc,Camargo_concat,0.8295520544052124,0.10437962412834167,0.1104462742805481,0.4353029131889343,1.7014600038528442,8.312718391418457,,
51,BPIC12_Wc,Camargo_fullconcat,0.8033740520477295,0.10437962412834167,0.1104462742805481,0.4353029131889343,1.710856318473816,7.477656364440918,,
52,BPIC12_Wc,MiDA,0.8143438696861267,0.10437962412834167,0.1469292789697647,0.4353029131889343,1.9643256664276123,7.281052112579346,,
53,BPIC12_Wc,MPPN,0.8102717399597168,0.22787335515022278,0.14451923966407776,0.5557217597961426,1.7632761001586914,7.491430282592773,,
54,BPIC13_CP,Evermann,0.5245901346206665,0.08582449704408646,0.21118611097335815,1.0,,,,
55,BPIC13_CP,Tax_Spezialized,0.3105110824108124,,,1.0,63.223270416259766,148.91529846191406,,
56,BPIC13_CP,Tax_Shared,0.5216972231864929,,,1.0,49.006290435791016,130.94024658203125,,
57,BPIC13_CP,Tax_Mixed,0.3105110824108124,,,1.0,112.72638702392578,175.92138671875,,
58,BPIC13_CP,Camargo_Spezialized,0.3105110824108124,0.08582449704408646,0.21118611097335815,1.0,49.46005630493164,136.824951171875,,
59,BPIC13_CP,Camargo_concat,0.5274831056594849,0.08582449704408646,0.21118611097335815,1.0,48.55070495605469,135.47055053710938,,
60,BPIC13_CP,Camargo_fullconcat,0.5081967115402222,0.08582449704408646,0.21118611097335815,1.0,61.381431579589844,138.9613800048828,,
61,BPIC13_CP,MiDA,0.5197685360908508,0.07618129253387451,0.21118611097335815,1.0,54.4796028137207,126.99180603027344,,
62,BPIC13_CP,MPPN,0.5612343549728394,0.21118611097335815,0.21504339575767517,1.0,55.057029724121094,130.82151794433594,,
63,BPIC17_O,Evermann,0.8176010847091675,0.07539550960063934,0.1943138986825943,0.5185344815254211,,,,
64,BPIC17_O,Tax_Spezialized,0.5468326210975647,,,0.4625670313835144,3.5225300788879395,9.69875431060791,,
65,BPIC17_O,Tax_Shared,0.8176010847091675,,,0.5185344815254211,3.560070037841797,9.45090103149414,,
66,BPIC17_O,Tax_Mixed,0.8176010847091675,,,0.4625670313835144,3.864116907119751,9.519124031066895,,
67,BPIC17_O,Camargo_Spezialized,0.8176010847091675,0.06424174457788467,0.19196398556232452,0.5185344815254211,3.6890063285827637,9.596251487731934,,
68,BPIC17_O,Camargo_concat,0.8176010847091675,0.06424174457788467,0.19196398556232452,0.5185344815254211,3.7630715370178223,9.613771438598633,,
69,BPIC17_O,Camargo_fullconcat,0.8176010847091675,0.08304097503423691,0.19196398556232452,0.5196928381919861,3.579378843307495,9.487577438354492,,
